,ID,Center_x,Center_y,Width,Height,Orientation,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
52,53,190.81412088899302,515.8505867981626,7.003197649844902,6.49931507285372,0.5605998336631923,38.0,18.26117437908497,0.0,0.018416470588235295,16.846178240887653,0.07195035784865234,190.752788978813,515.8305958288985,2.0068189029116184,2.553377051022835,0.18251376479747705,-0.7574997609114965,5.595971074617094,-2.496254334426234,0.0007814217232931354,-0.645064161669813,4.92429524545042,-2.1374899836768053,0.0016925597387422303,3.0,GALAXY,0.0,22.89799,21.9387,21.84019,22.03242,21.06829,0.3343628,0.05963842,0.07817674,0.1326677,0.2194971,20.25888,21.09145,20.96919,20.25033,18.59156,0.2715787,0.0534115,0.08031709,0.1022066,0.1876559,22.12841,21.12521,20.86893,20.52741,19.47968,1.016036,0.1681731,0.1553846,0.1858185,0.3452062,2.6391099999999987,0.8472500000000025,0.8709999999999987,1.7820899999999966,2.47673
33,34,114.99999999978219,712.0000000003951,7.035452837792069,6.312135427901333,-0.32874199675086613,37.0,10.128910501089322,0.0,0.028054901960784313,17.48609316567421,0.10281035586015452,115.27774299532369,711.9369200330223,2.2744024890835135,2.8024400749709457,0.1849258850706974,0.4711723107856676,5.6512024678873045,5.361128997178197,0.003004729517375165,0.7666698005522264,8.597739006717434,6.451594636957579,0.0073272852094945756,3.0,GALAXY,0.0,24.71671,24.53041,23.51917,21.94459,22.82673,0.8232225,0.3484777,0.3165304,0.122989,0.8324376,24.71804,24.16673,23.04233,21.633,20.40234,4.507345,1.158021,0.9303119,0.3194784,3.029674,24.65884,25.35839,23.42339,21.74949,21.61316,3.008765,1.962965,1.303308,0.4996901,2.356334,-0.0013299999999993872,0.36367999999999867,0.47683999999999926,0.3115900000000025,2.4243900000000025
194,195,817.9867860315777,430.5738126360105,14.736015542794519,31.02430180803949,-0.7698369454944601,379.0,26.915061263616558,0.0,0.05891529411764706,16.425011568283157,0.5250170129863843,817.7373973494974,430.28971966253584,27.141979139996693,25.79063626783318,18.0145912913722,4.198992526726576,13.297866620765294,4.164058917463359,0.007684537798945215,4.6562033161110685,14.018120464829375,4.442417418159359,0.006945852064320136,3.0,GALAXY,0.0,21.08872,20.31948,19.90565,19.69272,19.41418,0.08008998,0.02484986,0.02870056,0.05469823,0.07787617,19.39863,18.24098,17.81656,17.46663,17.25318,0.06071182,0.0113324,0.01139227,0.01117243,0.03159233,19.41171,18.27089,17.83241,17.49418,17.34773,0.1160259,0.02106,0.03397044,0.07899234,0.1248874,1.6900899999999979,2.0784999999999982,2.0890900000000023,2.226090000000003,2.1610000000000014
8,9,29.49995840205692,304.28304558286857,6.818996688941115,5.942755367792051,0.0008860661900429491,34.0,30.645813542483662,0.0,0.04024941176470588,16.28407211278068,0.12850003616662997,29.435913555853205,304.1954545676727,1.3320755151912635,1.6610066253197147,0.04261331367160892,1.2149646619502357,5.874098609881739,1.342674720453987,0.0013040855331342685,1.229170614326518,4.873980633402908,1.3157415811573727,0.0020867033014055404,6.0,STAR,1.0,24.40379,24.61564,24.29282,22.1651,21.81932,0.7962891,0.4220334,0.5050582,0.1484583,0.3907624,23.6499,22.69429,22.81014,22.08469,19.88462,2.247663,1.307804,1.95795,0.2822724,0.882466,27.81554,23.52055,23.47812,21.89213,20.67984,0.4389283,1.354947,1.551059,0.6494026,0.948476,0.753890000000002,1.9213500000000003,1.4826799999999984,0.08041000000000054,1.9346999999999994
46,47,172.6173090641641,671.5860878125501,5.853799770192728,6.824758429639379,0.0336347140362831,33.0,15.558784501960789,0.0,0.027443921568627454,17.020060835960713,0.1422700406844959,172.76201361833654,671.7056116065975,1.4465495577314869,1.5286162256379612,0.014830680505838245,0.49927369157673007,5.659874847589279,1.6387042168925952,0.002840559722101677,-0.5376441446148003,5.498295709093465,-1.340297879656647,0.001962435729437469,3.0,GALAXY,0.0,22.51829,22.18953,21.84966,21.8294,21.7051,0.247561,0.07252017,0.07388594,0.1114836,0.3609238,22.1087,22.10513,21.82791,21.36843,19.78415,0.2566352,0.08169288,0.1078993,0.1199348,0.4290394,22.57479,21.99434,21.85107,21.28761,20.74776,0.5286892,0.2351733,0.1838428,0.327897,0.4591577,0.40959000000000145,0.08440000000000225,0.021750000000000824,0.46096999999999966,1.9209500000000013
309,310,1267.5751482680341,1373.513500395931,34.5098641340092,21.527935901322206,-0.12300631114073524,524.0,17.860862285227135,0.0,0.05106705882352942,16.870243945270957,0.37618021856809936,1269.2130255488507,1374.4052109513698,17.24755698791705,50.400254897307605,-5.076238372828811,3.7771598209419106,21.884748063148255,7.448379344456081,0.014790187391394977,2.8334238189105947,16.78986824590555,2.822967712256347,0.012986118399471796,3.0,GALAXY,0.0,22.84571,21.01785,19.81613,19.31338,18.79518,0.3227006,0.03259267,0.02131281,0.02107168,0.03433382,20.18987,19.2516,17.98737,17.40539,16.91822,0.1871715,0.01982825,0.01077176,0.01019858,0.0234334,20.34376,19.3627,18.05567,17.49535,17.06348,0.2758492,0.05408311,0.02482855,0.02437484,0.06283773,2.6558400000000013,1.7662499999999994,1.8287600000000026,1.907989999999998,1.8769599999999969
304,305,1247.5802432791058,691.1052884168214,5.170811334038328,16.227036913442827,-0.385902063694364,37.0,18.72764932461874,0.0,0.025999607843137255,16.818791828507234,0.6813459313847547,1247.366061647873,691.2291647827495,2.6884347214363515,2.362187699705828,-0.30085860122926533,0.9079351496589227,6.389996037712194,2.769715450101525,0.0015614867523331406,1.1069719010851446,5.890956456713757,3.847200111547999,0.006289764997977164,3.0,GALAXY,0.0,24.04708,22.95363,21.96856,21.507,21.6191,0.7214316,0.1337689,0.1018515,0.0849696,0.3242672,22.08133,21.54165,20.54059,20.15911,19.83674,0.6638649,0.1247393,0.08242109,0.07119245,0.2163474,24.57065,21.62775,20.60527,20.33699,21.06202,3.764173,0.2056692,0.1060437,0.1785048,1.348562,1.9657499999999999,1.4119799999999998,1.4279699999999984,1.3478900000000031,1.7823600000000006
212,213,862.6384939588382,702.1192792268375,18.6576906340156,9.13643596241006,0.07512418400621787,141.0,28.853893856209147,0.0,0.05655450980392157,16.349488925408103,0.5103126029031134,862.6588487066114,702.1795644538583,3.9769914391217753,17.104122723278124,0.8509152481565252,3.614138019451093,11.763370046897734,5.5886938041663985,0.008378574596553388,1.7655852288547915,7.153089823570223,2.610565882068389,0.00399010767919516,3.0,GALAXY,0.0,22.09737,21.26358,20.77715,20.48355,20.21886,0.2911667,0.03761864,0.03529394,0.0383296,0.1042895,20.62449,19.54375,18.97614,18.66109,18.49292,0.1422244,0.02370421,0.02283758,0.0249256,0.1089172,20.64107,19.63717,19.03246,18.79948,18.78038,0.2975861,0.05089376,0.04068608,0.06586672,0.2525129,1.47288,1.7198300000000017,1.801009999999998,1.8224599999999995,1.7259399999999978
341,342,1363.8933200572355,224.1919950601388,6.44518488968243,8.0540934097873,-0.10155992676892772,54.0,30.169808627450983,0.0,0.03684784313725491,16.301068611561668,0.19976283341210455,1363.911995666625,224.28002677189474,3.248396653914824,4.044756450995919,-1.924938096490223,1.631095145627449,7.618078669914207,2.467622840818976,0.0025410392902393874,1.4185465364306054,6.746362017430401,1.9732085115152846,0.006557997645329268,3.0,GALAXY,0.0,22.81576,21.75994,20.91385,20.55303,20.09283,0.3089843,0.0516728,0.03874893,0.04049933,0.09153285,21.40081,20.71215,19.92143,19.45855,18.50462,0.240909,0.04099819,0.03642142,0.03037677,0.07438996,21.58655,20.79418,19.89774,19.55788,18.86449,0.4037108,0.1297269,0.096154,0.07547483,0.2003551,1.414950000000001,1.047789999999999,0.9924199999999992,1.0944800000000008,1.5882100000000001
45,46,173.29910531985104,1324.2413818662685,11.189444862637894,6.5808832662333145,0.40105836109051773,53.0,28.529280000000004,0.0,0.039529019607843136,16.36177297148583,0.41186686676412276,173.2211715467481,1324.2797738883105,3.0904436145756335,2.4061696929857135,0.3236083271622192,1.5822414541192675,5.696665114408426,1.9331608981455353,0.004637725002617064,1.8343892523255063,6.779133537901694,2.2933039945602642,0.00901141721594698,3.0,GALAXY,0.0,21.79921,21.00919,20.77837,20.6373,20.50478,0.140262,0.03250654,0.03501663,0.04280009,0.135543,21.63317,20.33283,19.83528,19.88865,18.97758,0.1525494,0.02891858,0.04019715,0.0413584,0.1437891,21.36662,20.34706,19.91107,19.85558,19.46871,0.457722,0.06676657,0.07203427,0.1124696,0.298287,0.16603999999999886,0.676359999999999,0.943089999999998,0.7486500000000014,1.5272000000000006
113,114,458.6266307833203,439.3730070652107,10.420738540648715,9.781319081703852,0.772483563595098,85.0,24.048742870975552,0.0,0.04449921568627451,16.54726905274388,0.06136028233034019,458.718859565357,439.4131891506107,5.360303358960664,5.535698293970199,0.4301615222648252,1.3400063503029338,6.714557273609106,3.237846515976711,0.0019867414011105226,1.4529139314363284,7.36277869079979,3.717325807252092,0.0012145430869168496,3.0,GALAXY,0.0,23.61065,22.42464,21.44748,21.12898,20.41885,0.5634982,0.09113695,0.05754416,0.06224169,0.1255122,21.74958,20.95955,19.79766,19.46108,18.94404,0.4465586,0.06954739,0.05589408,0.04174785,0.1157833,21.75315,21.09266,19.88206,19.55432,19.06425,0.5947425,0.1422176,0.07637788,0.09453145,0.237074,1.861069999999998,1.46509,1.6498199999999983,1.6678999999999995,1.474809999999998
