,ra,dec,type,type_name,type_label,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z
0,241.724499466761,19.2623824252859,3,GALAXY,0,25.30643,23.5106,23.1716,22.03432,20.93673,0.813536,0.2356232,0.2997628,0.1629107,0.2378956,25.87337,21.15871,21.58814,21.71568,21.00403,0.5612684,0.2303973,0.2173081,0.1905604,0.2614174,28.02719,21.76759,21.58128,21.65557,20.53495,0.4067394,0.2518425,0.226759,0.6219992,1.013181
1,241.752477265102,19.3021268281,6,STAR,1,23.63332,20.72453,19.61225,19.18001,18.86294,0.6648344,0.02694304,0.02232314,0.0188846,0.04355124,20.31314,20.73035,19.60205,19.16015,18.83113,0.3650543,0.02634762,0.02303742,0.02094296,0.04291735,22.12219,20.86365,19.63244,19.21894,19.00061,0.4209303,0.05248933,0.02883586,0.0314254,0.1151619
2,241.754241553249,19.329751452051,6,STAR,1,21.63168,21.80849,22.08721,21.69621,21.02592,0.1374065,0.05757203,0.1175741,0.1188663,0.2574306,21.68015,21.55156,22.10309,21.51766,20.23328,0.1510527,0.0592931,0.1432211,0.1297523,0.253201,22.38087,21.613,22.15167,21.50924,20.63246,0.5487455,0.1343889,0.2506563,0.2237307,0.6306713
3,241.763150801959,19.4044023841995,6,STAR,1,22.70429,21.2588,20.6931,20.48915,20.347,0.3193515,0.0382487,0.03894811,0.04287449,0.1456214,21.01614,21.17754,20.69799,20.49089,20.17247,0.3344292,0.03742036,0.04069129,0.04369694,0.1506471,21.95406,21.19866,20.72991,20.4779,20.99477,0.3517351,0.06736156,0.07415367,0.09351404,0.6841986
4,241.765001829779,19.2743436816726,3,GALAXY,0,21.41178,20.35192,19.96761,19.73497,19.52528,0.1189634,0.02367667,0.0256527,0.02535536,0.07167554,20.35966,18.62661,18.1204,17.77698,17.48689,0.1003913,0.01412933,0.01395985,0.01408122,0.04756783,20.74267,18.79111,18.20744,17.9744,17.79729,0.4603862,0.02947035,0.025362,0.03761685,0.145928
5,241.767419809191,19.353983565715,6,STAR,1,24.44259,23.30598,25.11489,24.43625,21.76686,0.9222586,0.6505293,0.6606958,0.669538,0.458341,24.64299,23.3417,25.19203,28.31566,21.20855,1.439378,0.2082427,0.7052222,0.4626502,0.7024569,24.67133,23.53054,24.90719,24.65105,21.78128,1.739442,0.4567059,1.599007,4.731782,1.103104
6,241.768333973364,19.4075247696154,6,STAR,1,23.1018,21.72413,21.33457,21.19527,20.97154,0.4391386,0.05331108,0.06492475,0.0809347,0.3480142,22.10728,21.66676,21.29731,21.17422,20.98264,0.4475704,0.064735,0.1232028,0.08090475,0.7897179,22.67239,21.7791,21.38182,21.6462,21.38776,0.6699293,0.1166875,0.1376519,0.2954058,1.290817
7,241.788366527916,19.4173423435986,6,STAR,1,23.96559,24.78167,23.94084,22.09027,21.47439,0.7841535,0.4938444,0.5188898,0.1662706,0.3710367,20.64318,21.23427,23.94693,21.97162,21.6037,0.6667437,0.7567154,0.609221,0.2073559,0.4223079,23.2157,24.13309,24.81775,22.27659,22.87535,0.7909794,0.8341871,1.21206,0.3755486,1.472886
8,241.78859775574,19.3510302499935,6,STAR,1,22.87428,22.05751,20.69719,19.63893,18.93407,0.7776887,0.06998376,0.03885711,0.02371901,0.04579484,21.76928,21.99505,20.66946,19.63364,18.95254,0.3377339,0.07135333,0.03748681,0.02229047,0.04623453,22.12648,21.93619,20.72142,19.64448,19.22626,0.5347993,0.1763925,0.07986561,0.04791339,0.1553876
9,241.789840190393,19.2479953107633,6,STAR,1,23.27862,21.48633,20.8628,20.62785,20.40808,0.5281315,0.04566351,0.04342895,0.04808273,0.1505822,22.1047,21.44127,20.85805,20.63891,19.81741,0.5285794,0.04596616,0.04274377,0.04988738,0.1614408,22.73849,21.15732,20.70218,20.79698,19.88159,0.9149026,0.1984568,0.1361684,0.1650422,0.4240597
10,241.796685627777,19.2796471368191,3,GALAXY,0,25.62181,24.74657,22.58348,21.94467,21.55643,0.7829319,0.3651139,0.1792968,0.1470247,0.38845,25.95606,24.74725,22.42242,21.65877,20.25959,0.4988084,0.539843,0.197003,0.1951306,0.355261,25.46941,26.29394,22.75432,21.67603,21.30339,1.365725,0.6834377,0.3865466,0.2234243,0.7697407
